alg,n,p,total,comp,comm,rounds,colors
alg1,1000,1,0.011081,0.011009,0.000053,25,8
alg2,1000,1,0.005036,0.004931,0.000050,15,14
alg1,1000,2,0.006129,0.005609,0.164916,25,8
alg2,1000,2,0.003184,0.002572,0.163825,15,14
alg1,1000,4,0.011368,0.002909,0.173424,25,8
alg2,1000,4,0.009676,0.001445,0.170893,15,14
alg1,1000,8,0.003764,0.001552,0.169049,25,8
alg2,1000,8,0.003570,0.000747,0.167676,15,14
alg1,2000,1,0.064741,0.064452,0.000210,50,12
alg2,2000,1,0.026960,0.026623,0.000129,26,25
alg1,2000,2,0.033276,0.031204,0.668441,50,12
alg2,2000,2,0.015300,0.013581,0.656337,26,25
alg1,2000,4,0.037963,0.014938,0.686600,50,12
alg2,2000,4,0.029530,0.007165,0.679769,26,25
alg1,2000,8,0.015069,0.007680,0.669837,50,12
alg2,2000,8,0.011731,0.004004,0.667241,26,25
alg1,5000,1,0.531602,0.530383,0.000993,115,20
alg2,5000,1,0.213889,0.212086,0.000577,58,57
alg1,5000,2,0.288743,0.274762,4.149573,115,20
alg2,5000,2,0.119534,0.113027,4.135116,58,57
alg1,5000,4,0.273644,0.141339,4.304756,115,20
alg2,5000,4,0.187428,0.064451,4.237357,58,57
alg1,5000,8,0.113804,0.066969,4.193802,115,20
alg2,5000,8,0.066084,0.031789,4.156938,58,57
